origin_airport_id,dest_airport_id,op_unique_carrier,day_of_week,time_bucket,total_flights,delay_rate,cancellation_rate
10140,11298,OO,6,Afternoon,3,0.0,0.0
10140,11298,OO,6,Evening,4,50.0,0.0
10140,11298,OO,7,Afternoon,3,0.0,0.0
10140,11433,DL,5,Morning,2,0.0,0.0
10140,11433,DL,7,Afternoon,1,0.0,0.0
10140,11433,DL,7,Morning,1,0.0,0.0
10140,12191,WN,1,Afternoon,47,27.659574468085108,0.0
10140,12191,WN,1,Morning,69,8.695652173913043,0.0
10140,12191,WN,2,Afternoon,43,26.190476190476193,2.3255813953488373
10140,12191,WN,2,Morning,64,11.11111111111111,1.5625
10140,12191,WN,3,Afternoon,44,18.181818181818183,0.0
10140,12191,WN,3,Morning,65,12.307692307692308,0.0
10140,12191,WN,4,Afternoon,50,16.0,0.0
10140,12191,WN,4,Morning,71,8.571428571428571,1.408450704225352
10140,12191,WN,5,Afternoon,47,19.148936170212767,0.0
10140,12191,WN,5,Morning,72,5.633802816901409,1.3888888888888888
10140,12191,WN,6,Afternoon,43,18.6046511627907,0.0
10140,12191,WN,6,Late Night/Early Morning,9,0.0,0.0
10140,12191,WN,6,Morning,64,4.6875,0.0
10140,12191,WN,7,Afternoon,55,18.181818181818183,0.0
10140,12191,WN,7,Morning,67,10.44776119402985,0.0
