ORIGIN_AIRPORT_ID,DEST_AIRPORT_ID,DEP_HOUR,total_flights,delay_rate
10299,12523,8,1,100.0
10299,12523,10,26,0.0
10299,12523,11,1,0.0
10299,12523,12,2,100.0
10299,12523,13,16,6.25
10299,12523,14,11,9.090909090909092
10299,12523,15,3,100.0
10299,12523,18,1,100.0
10299,12523,19,28,3.571428571428571
10299,12523,20,2,100.0
10299,12889,0,1,0.0
10299,12889,1,1,100.0
10299,12889,23,6,0.0
10299,12892,0,1,100.0
10299,12892,23,22,4.545454545454546
10299,13487,5,10,0.0
10299,13487,6,18,16.666666666666664
10299,13487,7,1,100.0
10299,13487,10,1,100.0
10299,13487,12,4,0.0
10299,13487,13,2,0.0
10299,13487,14,1,100.0
10299,13487,20,1,0.0
10299,13487,21,19,0.0
10299,13487,22,11,9.090909090909092
10299,13873,15,25,4.0
10299,13873,16,5,100.0
10299,13930,0,1,100.0
10299,13930,20,20,0.0
10299,13930,21,29,13.793103448275861
10299,13930,22,10,20.0
10299,13930,23,40,12.5
10299,13970,8,23,0.0
10299,13970,9,7,42.857142857142854
10299,14057,1,30,0.0
